1,2,0,9,32,15,-1,-1,-1,-1
1,1,0,129,18,23,-1,-1,-1,-1
2,2,6,9,32,15,-1,-1,-1,-1
2,1,7,129,19,26,-1,-1,-1,-1
3,2,11,9,32,15,-1,-1,-1,-1
3,1,19,129,19,25,-1,-1,-1,-1
3,3,11,9,32,16,-1,-1,-1,-1
4,2,18,9,32,15,-1,-1,-1,-1
4,1,30,129,18,24,-1,-1,-1,-1
5,2,24,9,32,15,-1,-1,-1,-1
5,1,42,129,18,24,-1,-1,-1,-1
6,2,32,10,31,14,-1,-1,-1,-1
6,1,53,129,18,23,-1,-1,-1,-1
7,2,39,10,30,14,-1,-1,-1,-1
7,1,63,129,18,23,-1,-1,-1,-1
8,2,45,10,30,14,-1,-1,-1,-1
8,1,74,129,18,23,-1,-1,-1,-1
9,2,52,10,30,14,-1,-1,-1,-1
9,1,85,130,18,23,-1,-1,-1,-1
9,4,21,26,29,20,-1,-1,-1,-1
10,2,58,10,30,13,-1,-1,-1,-1
10,1,96,130,18,23,-1,-1,-1,-1
10,4,28,26,29,20,-1,-1,-1,-1
11,2,65,10,30,13,-1,-1,-1,-1
11,1,107,130,18,23,-1,-1,-1,-1
11,4,35,25,29,20,-1,-1,-1,-1
11,5,27,4,16,21,-1,-1,-1,-1
12,2,71,9,30,13,-1,-1,-1,-1
12,1,117,129,18,22,-1,-1,-1,-1
12,4,41,26,30,20,-1,-1,-1,-1
12,5,33,3,17,21,-1,-1,-1,-1
13,2,77,9,30,13,-1,-1,-1,-1
13,1,128,130,18,22,-1,-1,-1,-1
13,4,49,25,30,19,-1,-1,-1,-1
13,5,39,4,17,20,-1,-1,-1,-1
14,2,84,9,30,13,-1,-1,-1,-1
14,1,139,130,18,22,-1,-1,-1,-1
14,4,56,25,30,19,-1,-1,-1,-1
14,5,45,3,18,19,-1,-1,-1,-1
14,6,35,220,97,36,-1,-1,-1,-1
14,7,28,77,40,28,-1,-1,-1,-1
15,2,90,9,31,13,-1,-1,-1,-1
15,1,150,129,18,23,-1,-1,-1,-1
15,4,63,25,30,19,-1,-1,-1,-1
15,5,52,3,19,19,-1,-1,-1,-1
15,6,48,220,98,36,-1,-1,-1,-1
15,7,38,76,40,28,-1,-1,-1,-1
16,2,96,9,30,13,-1,-1,-1,-1
16,1,161,129,18,23,-1,-1,-1,-1
16,4,70,26,30,19,-1,-1,-1,-1
16,5,57,3,19,18,-1,-1,-1,-1
16,6,60,220,98,36,-1,-1,-1,-1
16,7,47,77,40,28,-1,-1,-1,-1
17,2,103,9,30,13,-1,-1,-1,-1
17,1,171,129,18,23,-1,-1,-1,-1
17,4,77,26,30,19,-1,-1,-1,-1
17,5,63,3,21,17,-1,-1,-1,-1
17,6,72,220,98,36,-1,-1,-1,-1
17,7,57,77,40,29,-1,-1,-1,-1
18,2,109,9,31,13,-1,-1,-1,-1
18,1,182,129,18,23,-1,-1,-1,-1
18,4,84,27,30,19,-1,-1,-1,-1
18,6,85,219,99,36,-1,-1,-1,-1
18,7,66,77,40,28,-1,-1,-1,-1
19,2,116,9,31,13,-1,-1,-1,-1
19,1,193,129,18,22,-1,-1,-1,-1
19,4,92,26,30,18,-1,-1,-1,-1
19,6,97,219,99,36,-1,-1,-1,-1
19,7,76,77,40,28,-1,-1,-1,-1
19,8,21,14,58,44,-1,-1,-1,-1
20,2,121,9,31,13,-1,-1,-1,-1
20,1,204,129,18,22,-1,-1,-1,-1
20,4,99,27,30,18,-1,-1,-1,-1
20,6,109,219,99,36,-1,-1,-1,-1
20,7,85,77,40,28,-1,-1,-1,-1
20,8,29,17,55,44,-1,-1,-1,-1
21,2,128,9,31,14,-1,-1,-1,-1
21,1,215,129,18,23,-1,-1,-1,-1
21,4,106,26,30,18,-1,-1,-1,-1
21,6,122,219,99,36,-1,-1,-1,-1
21,7,95,77,40,28,-1,-1,-1,-1
21,8,36,20,53,44,-1,-1,-1,-1
22,2,134,9,31,14,-1,-1,-1,-1
22,1,225,129,18,23,-1,-1,-1,-1
22,4,114,26,30,17,-1,-1,-1,-1
22,6,134,219,99,36,-1,-1,-1,-1
22,7,104,77,40,28,-1,-1,-1,-1
22,8,44,20,52,43,-1,-1,-1,-1
22,9,33,0,17,23,-1,-1,-1,-1
23,2,141,9,31,14,-1,-1,-1,-1
23,1,236,129,18,23,-1,-1,-1,-1
23,4,121,26,29,17,-1,-1,-1,-1
23,6,146,219,99,36,-1,-1,-1,-1
23,7,114,77,40,28,-1,-1,-1,-1
23,8,51,20,51,44,-1,-1,-1,-1
23,9,38,0,16,21,-1,-1,-1,-1
24,2,148,9,31,13,-1,-1,-1,-1
24,1,247,129,18,23,-1,-1,-1,-1
24,4,128,26,29,17,-1,-1,-1,-1
24,6,159,219,99,36,-1,-1,-1,-1
24,7,124,77,40,28,-1,-1,-1,-1
24,8,58,19,52,44,-1,-1,-1,-1
24,9,44,0,16,22,-1,-1,-1,-1
24,10,104,0,23,20,-1,-1,-1,-1
25,2,154,9,30,13,-1,-1,-1,-1
25,1,258,129,18,23,-1,-1,-1,-1
25,4,136,26,29,17,-1,-1,-1,-1
25,6,171,220,99,36,-1,-1,-1,-1
25,7,133,76,40,28,-1,-1,-1,-1
25,8,65,18,52,44,-1,-1,-1,-1
25,10,109,0,23,20,-1,-1,-1,-1
26,2,160,9,30,14,-1,-1,-1,-1
26,1,269,129,18,22,-1,-1,-1,-1
26,4,144,25,29,18,-1,-1,-1,-1
26,6,183,220,99,36,-1,-1,-1,-1
26,7,143,77,40,28,-1,-1,-1,-1
26,8,73,18,53,44,-1,-1,-1,-1
26,10,115,0,24,22,-1,-1,-1,-1
27,1,279,129,18,23,-1,-1,-1,-1
27,4,152,21,33,21,-1,-1,-1,-1
27,6,196,220,99,37,-1,-1,-1,-1
27,7,152,77,40,28,-1,-1,-1,-1
27,8,79,17,54,44,-1,-1,-1,-1
27,10,121,0,25,22,-1,-1,-1,-1
28,1,290,129,18,23,-1,-1,-1,-1
28,4,158,21,33,21,-1,-1,-1,-1
28,6,208,220,99,37,-1,-1,-1,-1
28,7,162,76,40,28,-1,-1,-1,-1
28,8,87,16,55,44,-1,-1,-1,-1
28,10,126,0,25,22,-1,-1,-1,-1
29,1,301,129,18,23,-1,-1,-1,-1
29,4,166,17,37,24,-1,-1,-1,-1
29,6,220,220,99,37,-1,-1,-1,-1
29,7,171,76,40,28,-1,-1,-1,-1
29,8,94,15,55,44,-1,-1,-1,-1
29,12,24,28,85,47,-1,-1,-1,-1
29,13,24,423,52,16,-1,-1,-1,-1
30,1,312,129,18,23,-1,-1,-1,-1
30,4,172,14,40,25,-1,-1,-1,-1
30,6,232,220,99,37,-1,-1,-1,-1
30,7,181,76,41,28,-1,-1,-1,-1
30,8,101,15,55,44,-1,-1,-1,-1
30,9,76,0,17,22,-1,-1,-1,-1
30,12,33,28,85,46,-1,-1,-1,-1
30,13,32,423,52,16,-1,-1,-1,-1
31,1,323,129,18,23,-1,-1,-1,-1
31,4,180,12,42,25,-1,-1,-1,-1
31,6,245,220,99,37,-1,-1,-1,-1
31,7,191,76,41,28,-1,-1,-1,-1
31,8,108,15,55,45,-1,-1,-1,-1
31,12,41,28,85,46,-1,-1,-1,-1
31,13,40,423,52,16,-1,-1,-1,-1
32,1,334,129,18,23,-1,-1,-1,-1
32,4,186,11,43,26,-1,-1,-1,-1
32,6,257,219,98,37,-1,-1,-1,-1
32,7,200,76,40,28,-1,-1,-1,-1
32,8,115,16,55,45,-1,-1,-1,-1
32,12,50,28,85,46,-1,-1,-1,-1
32,13,48,423,52,16,-1,-1,-1,-1
32,14,90,0,16,18,-1,-1,-1,-1
33,1,344,129,18,23,-1,-1,-1,-1
33,4,193,11,44,26,-1,-1,-1,-1
33,6,269,219,98,36,-1,-1,-1,-1
33,7,209,76,40,28,-1,-1,-1,-1
33,8,122,16,55,45,-1,-1,-1,-1
33,12,58,28,85,46,-1,-1,-1,-1
33,13,56,423,52,16,-1,-1,-1,-1
33,14,94,0,16,18,-1,-1,-1,-1
34,1,355,129,18,23,-1,-1,-1,-1
34,6,281,219,97,36,-1,-1,-1,-1
34,7,219,76,40,28,-1,-1,-1,-1
34,8,129,17,55,46,-1,-1,-1,-1
34,12,67,28,85,46,-1,-1,-1,-1
34,13,64,424,52,16,-1,-1,-1,-1
34,14,98,0,17,21,-1,-1,-1,-1
35,1,366,129,18,23,-1,-1,-1,-1
35,6,294,220,97,36,-1,-1,-1,-1
35,7,229,76,40,28,-1,-1,-1,-1
35,8,137,16,56,46,-1,-1,-1,-1
35,12,75,28,85,46,-1,-1,-1,-1
35,13,72,424,52,16,-1,-1,-1,-1
35,14,103,0,16,22,-1,-1,-1,-1
36,1,377,129,18,23,-1,-1,-1,-1
36,6,306,220,97,36,-1,-1,-1,-1
36,7,238,77,40,28,-1,-1,-1,-1
36,8,144,11,59,47,-1,-1,-1,-1
36,12,84,28,85,46,-1,-1,-1,-1
36,13,81,424,52,16,-1,-1,-1,-1
36,14,106,0,17,23,-1,-1,-1,-1
37,1,388,129,18,23,-1,-1,-1,-1
37,4,221,9,46,24,-1,-1,-1,-1
37,6,319,221,97,36,-1,-1,-1,-1
37,7,248,76,40,28,-1,-1,-1,-1
